"状态","现代词条","候选整理文本","基础原文","传统分类","匹配分数","备选1","备选2"
"missing","梦见眼盲","目盲者，宜静养以待复明","见读书者主聪明","文书笔墨兵器","0.084","天明妇有生贵子","天皇明主公卿至"
"approx","梦见鼻血","手足脓血出大吉","手足浓血出大吉","身体面目齿发","0.747","墓中棺自出大吉","日初出无云大吉"
"missing","梦见鼻血","鼻出血者，宜慎口舌之过","箱器生口舌之事","金银珠玉绢帛","0.281","宫城塞者口舌至","手帕者主口舌事"
"missing","梦见耳聋","耳鸣者，主有失财","食梨者主失财帛","饮食酒肉瓜果","0.433","见鳖者主有得财","赠彩帛者主有权"
"missing","梦见耳聋","耳聋者，宜慎口舌祸","宫城塞者口舌至","门户井灶橱厕","0.247","手帕者主口舌事","铜铛者生口舌至"
"missing","梦见流血","出血见红，主财","刀伤出血主酒食","杀害斗伤打骂","0.315","井中伏泥出主财","被刀出血得酒食"
"missing","梦见流血","大出血，主忧","刀伤出血主酒食","杀害斗伤打骂","0.442","被刀出血得酒食","新冢棺郭主忧除"
"missing","梦见出汗","汗出如雨，主劳苦之象","身上汗出主凶恶","身体面目齿发","0.223","阴雨晦时主囚事","风如吼主远信至"
"missing","梦见出汗","夜半出汗，主心神不宁","霜雪降主事不成","天地日月星辰","0.093","身上汗出主凶恶","笏破忧凶主不祥"
"approx","梦见生翼","身生羽翼飞大吉","身生羽翼飞大吉身逃走得脱病去","帝王文武呼召","0.900","飞上天富贵大吉","家中生柏大吉利"
"missing","梦见生翼","得羽翼，主名利可达","登大树名利显扬","地理山石树木","0.194","见四通路名利遂","道中得财主通达"
"approx","梦见身肥","身成肥瘦皆为凶","身或肥瘦皆为凶","身体面目齿发","0.747","雪落身上万事成","身上汗出主凶恶"
"missing","梦见身肥","体肥变易，宜稳心持中","持执星宿大富贵","天地日月星辰","0.047","云起四方交易吉","地中黑气上主凶"
"approx","梦见身瘦","身成肥瘦皆为凶","身或肥瘦皆为凶","身体面目齿发","0.747","雪落身上万事成","身上汗出主凶恶"
"missing","梦见身瘦","身瘦多虑，宜养神还元","身或肥瘦皆为凶","身体面目齿发","0.093","天光灼身疾病除","日月照身得重位"
"approx","梦见手指折","手措折者主子病","手指折者主子病","杀害斗伤打骂","0.777","见笋者主添子孙","手帕者主口舌事"
"missing","梦见手指折","指节有伤，宜避利刃之事","锯主有断决之事","床帐毡祷匙筋","0.203","手持旌节有恩偿","剪刀主分财之事"
"missing","梦见脚痛","被人脚踢主求财","被人凌辱主得财","杀害斗伤打骂","0.337","被人打者主得力","被人绑主疾病至"
"missing","梦见脚痛","足痛行迟，宜暂歇蓄力","怀中琵琶行人力","哀乐病死歌唱","0.093","星列行主添奴婢","行路逢雨有酒食"
"missing","梦见受伤","身被伤痕，主有口舌是非","铜裆主有口舌至","金银珠玉绢帛","0.400","见手帕主有口舌","桥断者主有口舌"
"missing","梦见受伤","跌伤流血，主有远信","风如吼主远信至","天地日月星辰","0.247","见流桥主有官事","手弄笔砚主远信"
"missing","梦见生病","梦中生病，不祥之象","刀割猪肉主生病","饮食酒肉瓜果","0.224","门中生果树有子","家中生松事转丰"
"missing","梦见生病","病起而愈，主忧事终散","新冢棺郭主忧除","冢墓馆郭迎送","0.176","病重者主有凶事","天裂有分主国忧"
"missing","梦见洗澡","沐浴更衣，主除旧布新","沐浴迁官疾病除","身体面目齿发","0.253","男女沐浴上床凶","沐浴尘土疾病安"
"missing","梦见洗澡","冷水沐浴，防疾病","沐浴迁官疾病除","身体面目齿发","0.463","沐浴尘土疾病安","男女沐浴上床凶"
"missing","梦见美貌","容颜光鲜，主人缘多助","树木凋零主人凶","地理山石树木","0.176","犬咬主人失财凶","玉石器主有人助"
"missing","梦见美貌","镜中自见美貌，主心愿可成","见浮云作事不成","天地日月星辰","0.076","霜雪降主事不成","地中黑气上主凶"
"missing","梦见丑容","镜中见丑容，主近有忧事","桑生井上主有忧","地理山石树木","0.203","见流桥主有官事","见桥坏主有官事"
"missing","梦见丑容","面容改变，近期心境动荡","仰面向天大富贵","天地日月星辰","0.042","地动主迁官位吉","梳头洗面百忧去"
"exact","梦见身受戒","身受戒行者子孝","身受戒行者子孝","佛道僧尼鬼神","1.000","桥柱折者子孙凶","水上行者主大吉"
"missing","梦见身受戒","持戒洁身，主家室和顺","雪不沾身主孝服","天地日月星辰","0.176","羽益盖身主富贵","井中有鱼身主贵"
"approx","梦见戴冠","自戴幞头巾帽吉","自戴帽头巾帽吉","冠带衣服鞋袜","0.747","头白主长命大吉","衣带自解百事吉"
"exact","梦见戴冠","簪冠登台，职位迁","簪冠登台职位迁","冠带衣服鞋袜","1.000","戴冠登车官欲迁","登岩抱石官职迁"
"missing","梦见失冠","失去冠帽去退职","失去官帽主退职","冠带衣服鞋袜","0.493","簪冠登台职位迁","天晴雨散百忧去"
"missing","梦见失冠","冠落于地，宜慎其位","升山落地主失位","地理山石树木","0.158","地动主迁官位吉","簪冠登台职位迁"
"missing","梦见红衣","众人著绯大吉利","众人着红大吉利","冠带衣服鞋袜","0.590","与人吃蜜大吉利","杀猪者大吉利"
"missing","梦见红衣","红衣加身，主威仪有加","雪不沾身主孝服","天地日月星辰","0.176","羽益盖身主富贵","井中有鱼身主贵"
"approx","梦见白衣","著白衣主有人请","着白衣主有人请","冠带衣服鞋袜","0.873","玉石器主有人助","自身白衣人所谋"
"missing","梦见白衣","众人著白主官事，宜分情境","众人着白主官事","冠带衣服鞋袜","0.519","蛇黄白主有官事","身被罗网主官事"
"approx","梦见黑衣","著黄衣皂衣皆吉","着黄衣皂衣皆吉","冠带衣服鞋袜","0.873","裁衣着孝衣皆吉","一切贵人皆吉利"
"missing","梦见黑衣","皂衣加身，主守正得名","屎尿污身主得财","污垢沐浴凌辱","0.223","着黄衣皂衣皆吉","雪不沾身主孝服"
"missing","梦见青衣","著青衣神人助力","着青衣神有助力","冠带衣服鞋袜","0.620","乞得鞋履人助力","玉石器主有人助"
"missing","梦见青衣","著蓝绣衣妻大利，主受人扶助","着蓝绣衣妻大利","冠带衣服鞋袜","0.551","露体无衣吉大利","抱旌节主贵人扶"
"approx","梦见黄衣","著黄衣皂衣皆吉","着黄衣皂衣皆吉","冠带衣服鞋袜","0.873","裁衣着孝衣皆吉","一切贵人皆吉利"
"missing","梦见黄衣","黄衣加身，主德泽广被","着黄衣皂衣皆吉","冠带衣服鞋袜","0.206","雪不沾身主孝服","羽益盖身主富贵"
"approx","梦见绣衣","著锦绣衣子孙荣","着锦绣衣子孙荣","冠带衣服鞋袜","0.873","着蓝绣衣妻大利","枯木再发子孙兴"
"missing","梦见绣衣","锦袍加身，主家业兴隆","雪不沾身主孝服","天地日月星辰","0.176","羽益盖身主富贵","井中有鱼身主贵"
"exact","梦见破衣","衣服忽破妻外心","衣服忽破妻外心","冠带衣服鞋袜","1.000","蛇随人去妻外心","失却衣服妻难产"
"missing","梦见破衣","新衣攒米百事凶，宜慎自省","新衣攒来百事凶","冠带衣服鞋袜","0.519","仓库崩坏百事凶","衣带自解百事吉"
"approx","梦见新衣","著新袍主添妻妾","着新袍主添妻妾","冠带衣服鞋袜","0.873","匙主益妻妾子孙","星列行主添奴婢"
"missing","梦见新衣","新衣加身，主家室更新","新衣攒来百事凶","冠带衣服鞋袜","0.206","雪不沾身主孝服","羽益盖身主富贵"
"approx","梦见女着官服","女著冠带主生子","女着冠带主生子","冠带衣服鞋袜","0.807","门吊他人主生子","星入怀主生贵子"
"missing","梦见女着官服","妻著夫衣生贵子，主子嗣有望","妻着夫衣生贵子","冠带衣服鞋袜","0.483","妻着锦衣生贵子","食瓜子主生贵子"
"exact","梦见解带","衣带自解百事吉","衣带自解百事吉","冠带衣服鞋袜","1.000","身人土中百事吉","冢基门开百事吉"
"missing","梦见解带","解带松身，主旧愁渐释","雪不沾身主孝服","天地日月星辰","0.176","羽益盖身主富贵","井中有鱼身主贵"
"exact","梦见新鞋","得靴鞋主奴婢吉","得靴鞋主奴婢吉","冠带衣服鞋袜","1.000","的履主奴婢逃走","星列行主添奴婢"
"missing","梦见新鞋","新鞋当道，主出行有助","自种田禾主出行","田园五谷耕种","0.306","着青衣神有助力","拔刀出行大吉利"
"exact","梦见破鞋","鞋破子孙妻妾病","鞋破子孙妻妾病","冠带衣服鞋袜","1.000","匙主益妻妾子孙","枯木再发子孙兴"
"missing","梦见破鞋","破鞋当步，宜慎家事之劳","雪落家庭主丧事","天地日月星辰","0.084","家中生松事转丰","着麻鞋百事和合"
"approx","梦见失履","失履主奴婢逃走","的履主奴婢逃走","冠带衣服鞋袜","0.843","得靴鞋主奴婢吉","星列行主添奴婢"
"missing","梦见失履","失鞋者，宜慎家中之失","家中生松事转丰","地理山石树木","0.176","家中生柏大吉利","家中分财主离散"
"approx","梦见草鞋","著麻鞋百事和合","着麻鞋百事和合","冠带衣服鞋袜","0.873","霞满天百事欢悦","身人土中百事吉"
"missing","梦见草鞋","草鞋朴素，主合作有成","着麻鞋百事和合","冠带衣服鞋袜","0.123","渡天河主有所吉","日月合会妻有子"
"exact","梦见脱鞋","脱靴束带主有凶","脱靴束带主有凶","冠带衣服鞋袜","1.000","见军兵败主有凶","身卧船中主有凶"
"missing","梦见脱鞋","脱鞋安坐，宜慎仪容之失","脱靴束带主有凶","冠带衣服鞋袜","0.072","盘石安稳无忧疑","升山落地主失位"
"missing","梦见赤足","赤身入市，或主坦荡","夫妇入市主置产","道路桥梁集市","0.247","妇人赤身主大吉","赶贼入市不出凶"
"missing","梦见赤足","赤足而行，宜慎远行之劳","金钗动有远行事","镜环钗钏梳蓖","0.161","备马者生远行事","远行出入命通达"
"exact","梦见戴镜","将镜自照远信至","将镜自照远信至","镜环钗钏梳蓖","1.000","风如吼主远信至","穿并见水远信至"
"missing","梦见戴镜","戴镜得物，主见识开阔","得铜物主大富贵","金银珠玉绢帛","0.223","剪刀剪物主得财","屋在井中主见病"
"exact","梦见戴印","带印主妻生贵子","带印主妻生贵子","冠带衣服鞋袜","1.000","星入怀主生贵子","妻着夫衣生贵子"
"exact","梦见戴印","佩印公爵，主大吉","佩印公爵主大吉","文书笔墨兵器","1.000","五色云主大吉昌","卧于石上主大吉"
"exact","梦见沐浴贵客","沐浴迁官疾病除","沐浴迁官疾病除","身体面目齿发","1.000","沐浴尘土疾病安","洗头迁居疾病除"
"missing","梦见沐浴贵客","与贵客同浴，主有人提携","着白衣主有人请","冠带衣服鞋袜","0.281","玉石器主有人助","白鼠引路人提携"
"exact","梦见照镜","照镜明吉，暗者凶","照镜明吉暗者凶","身体面目齿发","1.000","镜明者吉暗者凶","冢墓上明吉暗凶"
"missing","梦见照镜","镜中之相，宜以镇定析之","自炊日中妻妾之","门户井灶橱厕","0.084","照镜明吉暗者凶","地中黑气上主凶"
"missing","梦见吃东西","饮食丰盛，主家有余庆","山中农稼衣食丰","地理山石树木","0.176","五谷茂盛主得财","人家有水见子亡"
"missing","梦见吃东西","与人共食，主和合之象","与人共衣妾私情","冠带衣服鞋袜","0.306","与人分花主分散","与人公服主得职"
"missing","梦见呕吐","梦中呕吐，主散去忧事","呕吐者病人出痊","饮食酒肉瓜果","0.206","鸳鸯散去夫妻凶","家中分财主离散"
"missing","梦见呕吐","病中吐出秽物，主疾病将愈","旗幡竞出主疾病","刀剑旌节钟鼓","0.298","风吹人衣主疾病","地裂主疾病大凶"
"missing","梦见飞翔","身飞举者，贵人助，禄位至","得人刀斧禄位至","刀剑旌节钟鼓","0.323","井中照身禄位至","被人疾罚禄位至"
"missing","梦见飞翔","女人梦飞，主有喜","女人拔刀主有子","刀剑旌节钟鼓","0.433","抱妇人主有喜事","自疾病者主有喜"
"missing","梦见被追逐","见人追而不及者，主虚惊","见笋者主添子孙","地理山石树木","0.203","人与秤者主权位","人送帚者主得位"
"missing","梦见被追逐","被追入宅者，主客至","腰带者主官至吉","冠带衣服鞋袜","0.247","军人入宅主大吉","瓷碗者主酒食至"
"missing","梦见结婚","见人嫁娶，主有喜庆","抱妇人主有喜事","夫妻产孕交欢","0.388","自疾病者主有喜","女人拔刀主有子"
"missing","梦见结婚","自成婚者，主迁改之事","剪刀主分财之事","刀剑旌节钟鼓","0.223","手帕者主口舌事","锯主有断决之事"
"missing","梦见坠落","堕高而下，主失意","升山落地主失位","地理山石树木","0.217","持刀刺人主失利","典卖田舍主失位"
"missing","梦见坠落","落井得出，主化险为夷","井中伏泥出主财","门户井灶橱厕","0.223","身上汗出主凶恶","旗幡竞出主疾病"
"missing","梦见赛跑","奔走如飞，主近日事多","鼠大走主有善事","龙蛇禽兽等类","0.140","日出有光有好事","云开日出凶事散"
"missing","梦见赛跑","赛跑得先，主争竞可胜","头生两角有争竞","身体面目齿发","0.176","得靴鞋主奴婢吉","得人刀主行人至"
"missing","梦见争吵","与人争辩，主近有口舌是非","与人饮酒有口舌","饮食酒肉瓜果","0.408","与人扣板有口舌","与恶人言有口舌"
"missing","梦见争吵","梦吵而止，事多可解","日出有光有好事","天地日月星辰","0.052","云开日出凶事散","星落有病及官事"
"missing","梦见打架","与人相搏，主烦心忧事","与人相骂者主吉","杀害斗伤打骂","0.352","与人相砍大吉庆","与人分花主分散"
"missing","梦见打架","打斗得胜，主事可平息","霜雪降主事不成","天地日月星辰","0.176","雀相争斗有官事","雪落家庭主丧事"
"missing","梦见舞蹈","梦见歌舞，近有喜事","见歌舞者口舌至","哀乐病死歌唱","0.366","居住高山有喜事","抱妇人主有喜事"
"missing","梦见舞蹈","独自起舞，主心有所欲，未有共鸣","渡天河主有所吉","天地日月星辰","0.161","自疾病者主有喜","天门未至有兵荒"
"missing","梦见唱歌","高声吟唱，主心事舒畅","病人歌唱主大凶","哀乐病死歌唱","0.206","牛触人心事不成","霜雪降主事不成"
"missing","梦见唱歌","众人同歌，主和合之象","众人着白主官事","冠带衣服鞋袜","0.223","与人同船主移居","众人着青家人散"
"missing","梦见吃饭","与人共饭，主得人助","与人公服主得职","冠带衣服鞋袜","0.388","与人共衣妾私情","与人分花主分散"
"missing","梦见吃饭","宴席丰美，主近有喜事","抱妇人主有喜事","夫妻产孕交欢","0.352","居住高山有喜事","居田宅主妻喜事"
"exact","梦见喝酒醉","饮酒至醉主疾病","饮酒至醉主疾病","饮食酒肉瓜果","1.000","风吹人衣主疾病","地裂主疾病大凶"
"missing","梦见喝酒醉","醉酒失态，宜慎口舌之失","箱器生口舌之事","金银珠玉绢帛","0.281","与人饮酒有口舌","与恶人言有口舌"
"approx","梦见喝水","食水者主得大利","食水者主很大利","饮食酒肉瓜果","0.777","鼎鼐者主得大财","釜溢者主得大财"
"missing","梦见喝水","饮水解渴，主旧愿可达","饮水不休得大财","水火盗贼灯烛","0.206","食水者主很大利","桶盛水者主大吉"
"approx","梦见吃肉","食牛肉于堂上吉","食羊肉于堂上吉","饮食酒肉瓜果","0.747","堂上神佛大吉利","堂上地陷主安忧"
"approx","梦见吃肉","食生肉凶熟肉吉，宜分情境","食生肉凶熟肉吉","饮食酒肉瓜果","0.922","食羊肉于堂上吉","食鸡鸭等肉皆吉"
"exact","梦见吃饼","食饼食饭心不遂","食饼食饭心不遂","饮食酒肉瓜果","1.000","车不行所求不遂","食柿食柑主疾病"
"missing","梦见吃饼","食饼少味，宜安心待时","食饼食饭心不遂","饮食酒肉瓜果","0.253","黑云压地时气病","雪下及时大吉利"
"exact","梦见吃瓜","食烂瓜主生疾病","食烂瓜主生疾病","饮食酒肉瓜果","1.000","火从地生疾病至","食瓜子主生贵子"
"approx","梦见吃瓜","食瓜子主生贵子，分情境而断","食瓜子主生贵子","饮食酒肉瓜果","0.943","食枣者主生贵子","食桑甚主生贵子"
"exact","梦见吃枣","食枣者主生贵子","食枣者主生贵子","饮食酒肉瓜果","1.000","食瓜子主生贵子","食桑甚主生贵子"
"missing","梦见吃枣","食枣甘心，主家室喜事","食枣者主生贵子","饮食酒肉瓜果","0.253","居田宅主妻喜事","抱妇人主有喜事"
"approx","梦见吃桑椹","食桑椹主生贵子","食桑甚主生贵子","饮食酒肉瓜果","0.747","食瓜子主生贵子","食枣者主生贵子"
"missing","梦见吃桑椹","得果在口，主子嗣有望","面生疮黑主子凶","身体面目齿发","0.176","手指折者主子病","渡天河主有所吉"
"missing","梦见吃菜","食一切菜者凶至","食一初果者凶至","饮食酒肉瓜果","0.590","食菜黄主凶事至","照镜明吉暗者凶"
"missing","梦见吃菜","食菜见菜黄主凶，宜慎饮食之节","食菜黄主凶事至","饮食酒肉瓜果","0.449","见市中无人主凶","见嫁聚及孝主凶"
"approx","梦见吃葱韭","食葱韭主有争鬥","食葱韭主有争斗","饮食酒肉瓜果","0.873","食大肉主有争讼","食栗者主有分别"
"missing","梦见吃葱韭","葱韭辛辣，宜慎口舌之争","箱器生口舌之事","金银珠玉绢帛","0.281","食葱韭主有争斗","与恶人言有口舌"
"exact","梦见吃饭碗空","食饼食饭心不遂","食饼食饭心不遂","饮食酒肉瓜果","1.000","车不行所求不遂","食柿食柑主疾病"
"missing","梦见吃饭碗空","碗空食尽，宜节俭以待","瓷碗者主酒食至","床帐毡祷匙筋","0.093","行路逢雨有酒食","山中农稼衣食丰"
"exact","梦见请客","人请饮酒主长命","人请饮酒主长命","饮食酒肉瓜果","1.000","头白主长命大吉","头须再生主长命"
"approx","梦见请客","与人吃会，主富贵至","与人吃会富贵至","饮食酒肉瓜果","0.814","与人吃乳尊亲至","身被霹雳主富贵"
"approx","梦见赴宴","筵会客人家欲破","宴会客人家欲破","饮食酒肉瓜果","0.873","扫地除粪家欲破","尾中生草家欲空"
"missing","梦见赴宴","赴宴而疏，宜守家事之实","宴会客人家欲破","饮食酒肉瓜果","0.114","雪落家庭主丧事","家中生松事转丰"
"missing","梦见呕吐","嘔吐者病人主瘥","呕吐者病人出痊","饮食酒肉瓜果","0.560","病人乘船必主死","病人上车主大凶"
"missing","梦见呕吐","呕出秽物，主旧愁渐消","剪刀剪物主得财","刀剑旌节钟鼓","0.176","见铁器物主得财","得铜物主大富贵"
"approx","梦见种田","种田广大有禄位","种田宽大有禄位","田园五谷耕种","0.777","见种田者禄位至","白猿主有禄位得"
"approx","梦见种田","自种田禾，主出行得利","自种田禾主出行","田园五谷耕种","0.974","拔刀出行大吉利","人送大桶主得利"
"exact","梦见耕地","教人耕种远行至","教人耕种远行至","田园五谷耕种","1.000","空野无人主远行","已射人必主远行"
"missing","梦见耕地","耕地广开，主家业兴旺","火烧自是主兴旺","水火盗贼灯烛","0.223","门户忽开主大吉","门户裂开主大吉"
"approx","梦见割禾","割收田禾家居安","割收田禾家已安","田园五谷耕种","0.747","自种田禾主出行","家起高楼安稳事"
"missing","梦见割禾","秋收时节，主丰衣足食","抱旌节主贵人扶","刀剑旌节钟鼓","0.176","阴雨晦时主囚事","山中农稼衣食丰"
"exact","梦见五谷丰登","五谷茂盛主得财","五谷茂盛主得财","田园五谷耕种","1.000","果林中行主得财","剪刀剪物主得财"
"missing","梦见五谷丰登","穀穗齊秀，主大吉利","造旌盖主大吉利","刀剑旌节钟鼓","0.478","孔雀者主大吉利","谷穗齐秀大吉利"
"exact","梦见买田","买人田宅主进职","买人田宅主进职","田园五谷耕种","1.000","居田宅主妻喜事","军人入宅主大吉"
"missing","梦见买田","置地于乡，主家业渐厚","强贼入宅主家破","水火盗贼灯烛","0.176","厕中干者主家破","雷从地震主志遂"
"exact","梦见五谷散落","米谷堆吉散主凶","米谷堆吉散主凶","田园五谷耕种","1.000","得米谷者主大吉","地中黑气上主凶"
"missing","梦见五谷散落","五谷散落，宜慎小节之失","五谷茂盛主得财","田园五谷耕种","0.161","升山落地主失位","米谷堆吉散主凶"
"missing","梦见米堆","得禾穀者主大吉","得米谷者主大吉","田园五谷耕种","0.620","面对官者主大吉","桶盛水者主大吉"
"missing","梦见米堆","米堆于仓，主家有余庆","人家有水见子亡","水火盗贼灯烛","0.176","强贼入宅主家破","厕中干者主家破"
"approx","梦见麦麸","麵糠相交家欲儉","麸糠相交家欲检","田园五谷耕种","0.717","扫地除粪家欲破","尾中生草家欲空"
"missing","梦见麦麸","麦糠纷飞，宜慎家中节流","家中生松事转丰","地理山石树木","0.161","家中生柏大吉利","家中分财主离散"
"approx","梦见拾米","手中把穀主福禄","手中把谷主福禄","田园五谷耕种","0.777","山行得财有福禄","钟鼓大鸣福禄至"
"missing","梦见拾米","得禾穀者大吉，主财富积聚","杀猪者大吉利","杀害斗伤打骂","0.269","种树木者大吉昌","冢墓高者大吉利"
"exact","梦见种菜","种菜主长命大吉","种菜主长命大吉","田园五谷耕种","1.000","头白主长命大吉","绳索主长命大吉"
"missing","梦见种菜","菜园勤打理，主家室和睦","强贼入宅主家破","水火盗贼灯烛","0.161","厕中干者主家破","种菜主长命大吉"
"approx","梦见树苗萌芽","萌芽者主恶事连","葫芦者主恶事连","田园五谷耕种","0.687","手帕者主口舌事","裆盏被主有恶事"
"missing","梦见树苗萌芽","嫩芽初露，宜慎事之兆头","露头披发阴人谋","身体面目齿发","0.084","日月初出家道昌","日初出无云大吉"
"exact","梦见麻丛","麻生如林大吉利","麻生如林大吉利","田园五谷耕种","1.000","园林茂盛大吉利","家中生柏大吉利"
"missing","梦见麻丛","麻丛繁茂，主家室富足","麻丛身者主病至","田园五谷耕种","0.253","强贼入宅主家破","厕中干者主家破"
"missing","梦见行路","见四路通名利遂","见四通路名利遂","道路桥梁集市","0.650","登大树名利显扬","把火行路不通达"
"approx","梦见行路","道中得财，主通达顺意","道中得财主通达","道路桥梁集市","0.944","在官厨中得财禄","封书信者主通达"
"approx","梦见过市","夫妻入市主置产","夫妇入市主置产","道路桥梁集市","0.747","银钗夫妻主相殴","夫妻分钗主离别"
"missing","梦见过市","过市观人，主有缘相遇","抱妇人主有喜事","夫妻产孕交欢","0.306","女人拔刀主有子","与人交易主有疾"
"exact","梦见赶集","见市中无人主凶","见市中无人主凶","道路桥梁集市","1.000","屋宅无人主死亡","空野无人主远行"
"missing","梦见赶集","集市纷扰，宜慎钱财之耗","粪土堆者钱财聚","地理山石树木","0.161","剪刀主分财之事","山行得财有福禄"
"missing","梦见买货","获物入手主大吉","入王侯府主大吉","宫室屋宇仓库","0.433","军人入宅主大吉","执火入船主大吉"
"missing","梦见买货","买货有利，主小有所得","渡天河主有所吉","天地日月星辰","0.223","鹤上天主小口灾","抢鱼拾鱼主小疾"
"exact","梦见卖货","与人交易主有疾","与人交易主有疾","帝王文武呼召","1.000","与妇人交有邪崇","就人卜易主疾病"
"missing","梦见卖货","卖货得财，宜慎契约之约","山行得财有福禄","地理山石树木","0.161","担水来家得财喜","砍伐大树多得财"
"approx","梦见做生意","入仓库中大吉昂","入仓库中大吉昌","宫室屋宇仓库","0.843","盆主益仓库大吉","身在禾中大吉利"
"missing","梦见做生意","与友合作，主财源不绝","井中伏泥出主财","门户井灶橱厕","0.176","掇盆脱底主财散","他人起笔主财进"
"exact","梦见被驱赶","与人交易主有疾","与人交易主有疾","帝王文武呼召","1.000","与妇人交有邪崇","就人卜易主疾病"
"missing","梦见被驱赶","被驱出门，宜慎家事之执","牛出门好事立至","牛马猪羊六畜","0.203","城中行凶出门吉","床帐出门者妻亡"
"missing","梦见睡觉","梦中酣睡，主心神安稳","乘船见航主安稳","船车游行物价","0.223","盘石安稳无忧疑","家起高楼安稳事"
"missing","梦见睡觉","睡而惊醒，近有所忧","渡天河主有所吉","天地日月星辰","0.194","天裂有分主国忧","桑生井上主有忧"
"missing","梦见早起","鸡鸣于晓主官事顺遂","众人着白主官事","冠带衣服鞋袜","0.306","身被罗网主官事","车行主百事顺利"
"missing","梦见早起","早起出门，主事可顺成","霜雪降主事不成","天地日月星辰","0.223","天火烧门主凶事","车入门主有凶事"
"exact","梦见困倦","身上汗出主凶恶","身上汗出主凶恶","身体面目齿发","1.000","大木忽折主凶恶","绳索断者主凶恶"
"missing","梦见困倦","困倦不堪，宜慎养生作息","门前生洲作刺史","门户井灶橱厕","0.084","刷牙者病患不生","天明妇有生贵子"
"exact","梦见做工","修理田舍有大喜","修理田舍有大喜","宫室屋宇仓库","1.000","鸡抱卵主有大喜","天公使有大吉祥"
"missing","梦见做工","劳作有成，主自食其力","天裂有分主国忧","天地日月星辰","0.093","见浮云作事不成","行路逢雨有酒食"
"approx","梦见祭灶","修造厨灶大吉利","修造炊灶大吉利","门户井灶橱厕","0.747","造旌盖主大吉利","修移门户大吉利"
"missing","梦见祭灶","祭灶诚心，主家室平安","强贼入宅主家破","水火盗贼灯烛","0.176","厕中干者主家破","堂上地陷主安忧"
"missing","梦见缝衣","裁衣著孛衣皆吉","裁衣着孝衣皆吉","冠带衣服鞋袜","0.620","着黄衣皂衣皆吉","一切贵人皆吉利"
"missing","梦见缝衣","缝衣裁剪，主家室和合","着麻鞋百事和合","冠带衣服鞋袜","0.176","新造桥者大和合","强贼入宅主家破"
"exact","梦见纺织","纺绩者主寿命长","纺绩者主寿命长","金银珠玉绢帛","1.000","石为门户主寿命","与鬼斗者主延寿"
"missing","梦见纺织","织布有功，主家业绵长","强贼入宅主家破","水火盗贼灯烛","0.176","厕中干者主家破","纺绩者主寿命长"
"missing","梦见读书","读书明义，主学问大进","读书文写字大吉","文书笔墨兵器","0.253","见读书者主聪明","观人读书生贵子"
"missing","梦见读书","诵经而悟，近有师教","憎师教人念经吉","佛道僧尼鬼神","0.194","有人教书大富贵","天明妇有生贵子"
"missing","梦见旅行","出行远方，主有所得","渡天河主有所吉","天地日月星辰","0.336","白猿主有禄位得","见鳖者主有得财"
"missing","梦见旅行","归途顺遂，主事业可成","霜雪降主事不成","天地日月星辰","0.223","见浮云作事不成","雪落身上万事成"
"missing","梦见鬼","鬼入宅，主忧事","军人入宅主大吉","宫室屋宇仓库","0.391","枷锁入宅主大凶","强贼入宅主家破"
"missing","梦见鬼","见鬼而不惧，反得吉","来见贵人不得凶","帝王文武呼召","0.158","见浮云作事不成","赤虹见吉黑虹凶"
"missing","梦见鬼","鬼怒逐人，主病","女人相打主病至","杀害斗伤打骂","0.285","地高下不平主病","破镜照人主分散"
"missing","梦见女鬼","被神鬼打大不祥","被鬼神打大不祥","佛道僧尼鬼神","0.650","笏破忧凶主不祥","床上有蚁主不祥"
"missing","梦见女鬼","女鬼现身，宜静守不应","被鬼神打大不祥","佛道僧尼鬼神","0.093","天光灼身疾病除","上天求妻儿女贵"
"missing","梦见冤鬼","被神鬼打大不祥","被鬼神打大不祥","佛道僧尼鬼神","0.650","笏破忧凶主不祥","床上有蚁主不祥"
"missing","梦见冤鬼","冤鬼缠身，宜以善行化怨","身上虫行病患安","身体面目齿发","0.084","身受戒行者子孝","天光灼身疾病除"
"missing","梦见鬼追","鬼怒逐人主病","女人相打主病至","杀害斗伤打骂","0.285","地高下不平主病","破镜照人主分散"
"missing","梦见鬼追","鬼追不及，主虚惊一场","流星不落主移居","天地日月星辰","0.093","雪不沾身主孝服","地高下不平主病"
"missing","梦见鬼笑","见鬼而不惧反得吉","来见贵人不得凶","帝王文武呼召","0.158","见浮云作事不成","赤虹见吉黑虹凶"
"missing","梦见鬼笑","鬼笑无声，宜慎是非之言","船浅在岸是非厄","船车游行物价","0.161","日初出无云大吉","雷霆作声官位至"
"exact","梦见与鬼斗","与鬼斗者主延寿","与鬼斗者主延寿","佛道僧尼鬼神","1.000","铅与锡者主得财","纺绩者主寿命长"
"missing","梦见与鬼斗","持心驱邪，主病不侵","地高下不平主病","地理山石树木","0.194","迁移尼寺主病至","女人相打主病至"
"missing","梦见与鬼言","与鬼对语而不惧，主有所悟","渡天河主有所吉","天地日月星辰","0.260","与人交易主有疾","与鬼斗者主延寿"
"missing","梦见与鬼言","与鬼言以得物，主进财","剪刀剪物主得财","刀剑旌节钟鼓","0.223","见铁器物主得财","得铜物主大富贵"
